user_id,userid_DI
18688,MHxPC130102338
18690,MHxPC130189657
18700,MHxPC130101317
18702,MHxPC130543325
18703,MHxPC130247255
18709,MHxPC130516765
18710,MHxPC130114870
18711,MHxPC130289762
18716,MHxPC130545569
18718,MHxPC130579483
18722,MHxPC130244397
18723,MHxPC130385815
18726,MHxPC130316191
18729,MHxPC130367268
18733,MHxPC130348235
18734,MHxPC130177310
18744,MHxPC130305359
18748,MHxPC130464767
18754,MHxPC130007154
18755,MHxPC130060465
18760,MHxPC130079476
18764,MHxPC130139956
18770,MHxPC130175816
18773,MHxPC130424650
18780,MHxPC130057899
18781,MHxPC130145730
18784,MHxPC130345327
18791,MHxPC130249810
18797,MHxPC130596840
18802,MHxPC130238972
18803,MHxPC130070762
18806,MHxPC130403901
18809,MHxPC130574307
18810,MHxPC130175931
18811,MHxPC130258305
18819,MHxPC130595059
18827,MHxPC130519997
18828,MHxPC130242442
18832,MHxPC130198057
18833,MHxPC130366293
18839,MHxPC130461139
18841,MHxPC130452480
18846,MHxPC130097329
18848,MHxPC130112982
18850,MHxPC130162809
18858,MHxPC130166396
18859,MHxPC130339893
18862,MHxPC130317082
18869,MHxPC130382847
18871,MHxPC130365029
18875,MHxPC130569933
18877,MHxPC130235798
18880,MHxPC130319327
18892,MHxPC130265676
18897,MHxPC130001700
18900,MHxPC130412001
18903,MHxPC130232532
18905,MHxPC130210458
18907,MHxPC130350070
18908,MHxPC130320265
18912,MHxPC130064580
18914,MHxPC130539224
18922,MHxPC130454407
18927,MHxPC130568412
18928,MHxPC130562352
18936,MHxPC130085397
18941,MHxPC130337421
18944,MHxPC130593846
18946,MHxPC130208408
18947,MHxPC130336182
18949,MHxPC130087003
18951,MHxPC130244194
18953,MHxPC130017329
18955,MHxPC130259601
18964,MHxPC130187489
18971,MHxPC130137343
18980,MHxPC130284195
18984,MHxPC130157145
18987,MHxPC130427099
18989,MHxPC130093412
18990,MHxPC130406424
18997,MHxPC130153113
19000,MHxPC130092358
19003,MHxPC130101861
19006,MHxPC130034786
19010,MHxPC130401628
19012,MHxPC130043523
19014,MHxPC130365291
19015,MHxPC130048276
19017,MHxPC130290366
19020,MHxPC130388143
19024,MHxPC130242376
19028,MHxPC130228198
19039,MHxPC130552508
19040,MHxPC130549610
19041,MHxPC130028723
19047,MHxPC130475909
19050,MHxPC130315707
19052,MHxPC130393252
19056,MHxPC130170093
19060,MHxPC130056249
19062,MHxPC130245131
19063,MHxPC130197856
19065,MHxPC130315575
19076,MHxPC130388654
19082,MHxPC130584771
19083,MHxPC130565842
19086,MHxPC130384828
19087,MHxPC130360602
19103,MHxPC130379281
19105,MHxPC130260179
19110,MHxPC130190899
19112,MHxPC130528212
19114,MHxPC130116463
19115,MHxPC130098696
19116,MHxPC130312900
19136,MHxPC130391069
19152,MHxPC130058975
19153,MHxPC130247474
19154,MHxPC130222564
19162,MHxPC130568748
19167,MHxPC130271120
19175,MHxPC130302892
19176,MHxPC130504906
19196,MHxPC130145460
19200,MHxPC130353554
19227,MHxPC130415610
19232,MHxPC130097133
19234,MHxPC130101409
19239,MHxPC130411600
19251,MHxPC130514124
19253,MHxPC130311234
19257,MHxPC130453489
19265,MHxPC130380241
19271,MHxPC130428840
19274,MHxPC130548384
19277,MHxPC130242862
19283,MHxPC130453815
19291,MHxPC130140097
19294,MHxPC130410230
19295,MHxPC130340760
19299,MHxPC130500674
19300,MHxPC130259861
19308,MHxPC130053942
19311,MHxPC130221321
19312,MHxPC130553648
19316,MHxPC130353483
19330,MHxPC130535139
19332,MHxPC130380373
19341,MHxPC130332001
19356,MHxPC130447265
19375,MHxPC130596264
19379,MHxPC130375627
19380,MHxPC130486849
19388,MHxPC130040031
19403,MHxPC130506246
19405,MHxPC130284752
19409,MHxPC130253586
19418,MHxPC130185280
19419,MHxPC130316653
19420,MHxPC130497332
19421,MHxPC130487860
19422,MHxPC130105259
19430,MHxPC130229357
19437,MHxPC130592034
19438,MHxPC130002233
19445,MHxPC130109974
19470,MHxPC130114590
19475,MHxPC130331043
19477,MHxPC130025387
19482,MHxPC130471000
19489,MHxPC130342133
19493,MHxPC130520573
19494,MHxPC130531919
19499,MHxPC130426229
19500,MHxPC130146543
19501,MHxPC130357548
19502,MHxPC130169685
19505,MHxPC130091190
19507,MHxPC130318417
19509,MHxPC130533182
19510,MHxPC130097151
19519,MHxPC130264579
19521,MHxPC130480237
19525,MHxPC130044984
19528,MHxPC130110552
19535,MHxPC130558379
19536,MHxPC130110234
19540,MHxPC130235669
19546,MHxPC130331338
19550,MHxPC130196115
19553,MHxPC130011754
19557,MHxPC130495448
19562,MHxPC130466185
19564,MHxPC130328623
19568,MHxPC130281431
19584,MHxPC130195085
19588,MHxPC130138623
19609,MHxPC130257730
19616,MHxPC130203845
19618,MHxPC130581585
19621,MHxPC130076827
19628,MHxPC130006356
19642,MHxPC130592544
19646,MHxPC130131178
19654,MHxPC130576480
19655,MHxPC130232570
19658,MHxPC130163048
19659,MHxPC130446059
19663,MHxPC130034013
19669,MHxPC130107635
